question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
853,0.217800053,0,0.000694444,77.32013888,103.93976,26.61962112,4
853,0.23119998,0,0.000694444,77.32083332,103.93976,26.61892668,4
853,0.145799989,0,0.000694444,77.32152777,103.93976,26.61823223,4
853,0.179999988,0,0.001388889,77.32291665,103.93976,26.61684335,4
853,0.1568,0,0,77.32291665,103.93976,26.61684335,4
853,0.17999994,0,0.001388889,77.32430554,103.93976,26.61545446,4
853,0.2048,0,0.000694444,77.32499999,103.93976,26.61476001,4
853,0.18,0,0.001388889,77.32638888,103.93976,26.61337112,4
853,0.192200037,0,0.002083333,77.32847221,103.93976,26.61128779,4
853,0.168199977,0,0,77.32847221,103.93976,26.61128779,4
853,0.13520001,0,0.000694444,77.32916665,103.93976,26.61059335,4
853,0.1568,0,0.002777778,77.33194443,103.93976,26.60781557,4
853,0.1352,0,0.000694444,77.33263888,103.93976,26.60712112,4
853,0.288800023,0,0,77.33263888,103.93976,26.60712112,4
853,0.245000014,0,0.000694444,77.33333332,103.93976,26.60642668,4
853,0.304200016,0,0.000694444,77.33402776,103.93976,26.60573224,4
853,0.32,0,0,77.33402776,103.93976,26.60573224,4
853,0.304200016,0,0.000694444,77.33472221,103.93976,26.60503779,4
853,0.32,1.00E-05,0.002777778,77.33749999,103.93976,26.60226001,4
853,0.206309035,0,0.000694444,77.33819443,103.93976,26.60156557,4
853,0.2312,0,0.001388889,77.33958332,103.93976,26.60017668,4
853,0.1458,1.00E-05,0.009027778,77.3486111,103.93976,26.5911489,4
853,0.231199959,0,0.002083333,77.35069443,103.93976,26.58906557,4
853,0.145799973,0,0.000694444,77.35138887,103.93976,26.58837113,4
853,0.192199963,0,0.000694444,77.35208332,103.93976,26.58767668,4
853,0.20479993,0,0.000694444,77.35277776,103.93976,26.58698224,4
853,0.1275125,0,0.002777778,77.35555554,103.93976,26.58420446,4
853,0.145800011,1.00E-05,0.00625,77.36180554,103.93976,26.57795446,4
853,0.224449987,1.00E-05,0.003472222,77.36527776,103.93976,26.57448224,4
