trade_id,NONZERO,question_id,difftime_tradedays,TBS
1306,0,9,0.18733,0.000114869
1335,0,9,0.31171,6.81E-05
1413,0,9,0.01936,0.001800017
1422,0,9,0.72689,0.004999998
1474,0,9,0.00907,0.003066059
1475,0,9,0.68929,0.115378975
1514,0,9,0.01854,0.349025371
1517,0,9,0.40601,0.125000015
1540,0,9,0.15701,0.08
1546,0,9,19.99775,0.245000084
2410,0,9,3.58367,0.260082072
2711,0,9,4.25758,0.172061588
2780,0,9,1.14155,0.098917017
2860,0,9,0.00061,0.098917017
2861,0,9,0.00043,0.098274468
2862,0,9,0.95798,0.08000002
2905,0,9,1.704,0.055533107
2938,0,9,0.23973,0.052144679
2950,0,9,0.96096,0.049829403
2957,0,9,2.06027,0.049829412
3000,0,9,0.01487,0.048037375
3013,0,9,1.6313,0.048037368
3057,0,9,0.42357,0.063005326
3094,0,9,1.12072,0.113998317
3193,0,9,0.55794,0.357987568
3201,0,9,0.00062,0.215336868
3202,0,9,0.00012,0.215336868
3203,0,9,0.00199,0.215336868
3204,0,9,0.00045,0.215336868
3205,0,9,0.00294,0.215336868
3207,0,9,0.99645,0.215336868
3240,0,9,0.00278,0.215336888
3242,0,9,1.47114,0.215336888
3299,0,9,0.53,0.135199979
3332,0,9,0.16933,0.344887599
3375,0,9,0.04133,0.255800923
3397,0,9,0.00012,0.254279837
3398,0,9,0.03448,0.254279858
3406,0,9,0.0784,0.254279823
3421,0,9,1.00756,0.254279823
3604,0,9,0.43929,0.253945886
3698,0,9,0.22057,0.079999948
3727,0,9,1.07844,0.072200034
3798,0,9,1.40596,0.076050023
3848,0,9,0.0001,0.078950052
3849,0,9,0.00265,0.067007605
3860,0,9,0.74099,0.058602282
3909,0,9,0.19247,0.057933187
3938,0,9,0.90147,0.057933193
3973,0,9,0.06814,0.057933173
3976,0,9,1.02597,0.057933173
4015,-1,9,6.71902,0.00719999
38,0,10,8.85523,0.293615508
345,0,10,6.67906,0.18
509,0,10,1.57157,0.0882
558,-2,10,81.71171,0.051793776
184,0,12,0.00289,0.330600176
185,0,12,0.09291,0.249621381
231,0,12,9.90689,0.153062444
412,0,12,0.00039,0.153062478
413,0,12,1.88269,0.228922753
445,0,12,0.23714,0.228922753
464,0,12,0.04049,0.131481623
477,0,12,19.92188,0.131481946
843,0,12,3.88166,0.08258048
1019,0,12,30.12645,0.062375124
2757,0,12,9.163,0.038441151
3001,0,12,8.0884,0.037139148
3615,0,12,3.97593,0.037139135
3929,0,12,0.10484,0.167300749
3949,0,12,2.46842,0.152783489
4029,0,12,2.61863,0.228752068
4177,0,12,2.94754,0.228752068
4392,0,12,0.00219,0.228752068
4404,0,12,2.64451,0.228752068
4500,0,12,0.2652,0.228752068
4543,0,12,5.02018,0.219479109
4784,0,12,1.11609,0.219479109
4852,0,12,0.00022,0.219479109
4855,0,12,0.00237,0.219479109
4869,0,12,3.03798,0.219479109
5133,0,12,10.58289,0.219479109
5895,0,12,8.06194,0.131658793
6410,0,12,5.0101,0.106694799
6870,0,12,5.94478,0.106353472
7085,0,12,15.251,0.217799987
8163,0,12,6.90457,0.13285897
8549,0,12,1.1677,0.012800007
8600,0,12,6.72421,0.156800017
9377,0,12,5.68411,0.096799987
9960,0,12,0.06888,0.068449978
10022,0,12,0.37997,0.040612506
