NumberofTrades,QBS,Category,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound
75,0.42171738868388486,1,0.24590343827860145,7.0710678118654755,0.03477599774477735,0.0681609555797636,0.48987834426364846,0.35355643310412127
80,0.4305828032537596,1,0.2466147247636579,6.782329983125268,0.03636135743575527,0.07126826057408032,0.50185106382784,0.35931454267967927
85,0.4302957163053324,1,0.253881482412886,6.6332495807108,0.038274073562852555,0.075017184183191,0.5053129004885234,0.35527853212214144
90,0.41975129859042015,1,0.2666644007561187,6.324555320336759,0.0421633438636631,0.08264015397277967,0.5023914525631998,0.33711114461764047
95,0.4100262035906455,1,0.2689431424184216,6.082762530298219,0.044213980256308995,0.08665940130236563,0.49668560489301117,0.32336680228827985
100,0.4119754027399301,1,0.2675726806398361,5.916079783099616,0.04522803789837441,0.08864695428081384,0.500622357020744,0.32332844845911624
105,0.41042528137002376,1,0.27076720669744964,5.916079783099616,0.04576801135626105,0.08970530225827167,0.5001305836282954,0.3207199791117521
110,0.3924532266800677,1,0.25378487317892856,5.744562646538029,0.04417827584000193,0.08658942064640379,0.4790426473264715,0.3058638060336639
115,0.38004489931618174,1,0.2553827949814885,5.656854249492381,0.04514572653244608,0.0884856240035943,0.46853052331977607,0.2915592753125874
120,0.377568110117132,1,0.26080628862590977,5.5677643628300215,0.046842192239138755,0.09181069678871195,0.46937880690584394,0.28575741332842003
125,0.3807018729890861,1,0.2665779242360986,5.385164807134504,0.049502277791558844,0.09702446447145534,0.47772633746054144,0.28367740851763074
130,0.37709428433152603,1,0.2668290985454522,5.385164807134504,0.04954891968987565,0.09711588259215628,0.47421016692368234,0.2799784017393697
135,0.3761963181192289,1,0.265139702784019,5.291502622129181,0.05010669401829244,0.09820912027585317,0.47440543839508204,0.2779871978433757
140,0.3707223382322812,1,0.26704281667868796,5.196152422706632,0.05139241403153212,0.10072913150180296,0.47145146973408414,0.2699932067304782
145,0.3674916006449751,1,0.2688834555278203,5.196152422706632,0.05174664514320793,0.10142342448068754,0.46891502512566263,0.2660681761642876
150,0.3739559895309169,1,0.2707385509854307,5,0.05414771019708614,0.10612951198628884,0.48008550151720575,0.26782647754462807
155,0.3708755034392171,1,0.2740843304295485,4.898979485566356,0.05594722967039786,0.10965657015397981,0.48053207359319694,0.26121893328523726
160,0.36318001118188686,1,0.27146432920613645,4.898979485566356,0.05541242416016227,0.10860835135391804,0.4717883625358049,0.2545716598279688
165,0.34661334636416813,1,0.26142949785707176,4.69041575982343,0.05573695621961522,0.10924443419044583,0.45585778055461396,0.2373689121737223
170,0.3416376015169523,1,0.26160497437980995,4.69041575982343,0.055774367939966596,0.10931776116233452,0.4509553626792868,0.2323198403546178
175,0.3502153445764012,1,0.26488710709827257,4.58257569495584,0.0578031056617004,0.11329408709693278,0.46350943167333397,0.2369212574794684
180,0.3465111488436109,1,0.26244228058231883,4.58257569495584,0.05726960077739597,0.1122484175236961,0.45875956636730697,0.2342627313199148
185,0.3369251604216428,1,0.26954614726589743,4.47213595499958,0.06027235083597157,0.11813380763850428,0.45505896806014706,0.2187913527831385
190,0.33369522710115346,1,0.27119732110538114,4.47213595499958,0.06064156453074706,0.11885746648026424,0.4525526935814177,0.21483776062088922
195,0.331837104970421,1,0.27842362661465725,4.358898943540674,0.06387476062670486,0.1251945308283415,0.4570316357987625,0.2066425741420795
200,0.34216287782156773,1,0.27868509332048236,4.242640687119285,0.06568670643417297,0.12874594461097902,0.4709088224325467,0.21341693321058872
205,0.3427975011490693,1,0.28667447113702604,4.123105625617661,0.0695287720391788,0.13627639319679044,0.4790738943458598,0.20652110795227888
210,0.3622334520821981,1,0.29652167688693254,3.872983346207417,0.07656156775817242,0.15006067280601795,0.512294124888216,0.21217277927618014
215,0.3580642467199856,1,0.291162899242773,3.872983346207417,0.07517793732004853,0.14734875714729512,0.5054130038672807,0.21071548957269048
220,0.35698542010617274,1,0.2893497105483665,3.872983346207417,0.07470977401225067,0.1464311570640113,0.5034165771701841,0.21055426304216143
225,0.3684980906067366,1,0.30698787383860077,3.605551275463989,0.08514311692851886,0.16688050917989697,0.5353785997866336,0.20161758142683964
230,0.36730182904339004,1,0.30784812477476087,3.605551275463989,0.08538170761006433,0.16734814691572608,0.5346499759591161,0.19995368212766396
235,0.36633955849708805,1,0.30826955825229085,3.605551275463989,0.08549859222640523,0.16757724076375424,0.5339167992608422,0.1987623177333338
240,0.36405522248201044,1,0.3087262444281668,3.605551275463989,0.08562525418209109,0.16782549819689854,0.531880720678909,0.1962297242851119
245,0.29178742313178613,1,0.1933803054708941,3.4641016151377544,0.05582408570979639,0.10941520799120093,0.40120263112298704,0.18237221514058521
250,0.27597058353866644,1,0.19384487381585813,3.3166247903554,0.05844642854372631,0.11455499994570356,0.39052558348437,0.16141558359296287
255,0.27119531307693695,1,0.19471112711560343,3.3166247903554,0.05870761374087744,0.11506692293211979,0.38626223600905674,0.15612839014481716
260,0.28192271432133104,1,0.2002313090288755,3.1622776601683795,0.06331869954082842,0.1241046511000237,0.40602736542135476,0.15781806322130734
265,0.28029288463773533,1,0.1980975234606503,3.1622776601683795,0.06264393729742958,0.12278211710296197,0.4030750017406973,0.15751076753477336
270,0.2778918985635059,1,0.1980885487022741,3.1622776601683795,0.06264109922963773,0.12277655449008995,0.40066845305359583,0.15511534407341593
275,0.28886267235950774,1,0.2044691637234491,3,0.06815638790781636,0.13358652029932006,0.4224491926588278,0.1552761520601877
280,0.2869170844139426,1,0.2024095465173581,3,0.06746984883911937,0.13224090372467395,0.41915798813861654,0.15467618068926864
285,0.2839239685687034,1,0.19979492977987476,3,0.06659830992662492,0.13053268745618485,0.41445665602488824,0.15339128111251854
290,0.28265084711198807,1,0.19981138846139437,3,0.06660379615379812,0.1305434404614443,0.41319428757343235,0.15210740665054376
295,0.28125956935083285,1,0.1999266369939162,3,0.06664221233130539,0.13061873616935857,0.41187830552019145,0.15064083318147428
300,0.2791334049195969,1,0.19828727084725628,3,0.06609575694908543,0.12954768362020744,0.40868108853980434,0.14958572129938943
305,0.2755903885704444,1,0.19397762575253025,3,0.06465920858417674,0.12673204882498643,0.40232243739543083,0.14885833974545795
310,0.27227471296295636,1,0.18912100005118515,3,0.06304033335039505,0.1235590533667743,0.39583376632973066,0.14871565959618205
315,0.27065992856738635,1,0.18701906666339388,3,0.06233968888779796,0.122185790220084,0.3928457187874703,0.14847413834730236
320,0.26940255467723434,1,0.18616168948668976,3,0.062053896495563254,0.12162563713130398,0.3910281918085383,0.14777691754593036
325,0.2920673336404161,1,0.18265064479207307,2.8284271247461903,0.06457675476028511,0.12657043933015882,0.4186377729705749,0.16549689431025727
330,0.2892154765216615,1,0.1819330946624097,2.8284271247461903,0.06432306247902199,0.1260732024588831,0.4152886789805446,0.16314227406277843
335,0.28104254499947984,1,0.1693700246027175,2.8284271247461903,0.05988134646315696,0.11736743906778764,0.39840998406726746,0.1636751059316922
340,0.2776199934130528,1,0.1642557479346985,2.8284271247461903,0.058073176606746775,0.11382342614922368,0.3914434195622765,0.16379656726382913
345,0.23759364560240998,1,0.13491602648429815,2.6457513110645907,0.050993464850636695,0.09994719110724792,0.3375408367096579,0.13764645449516205
350,0.23734003798164868,1,0.13446193784775368,2.6457513110645907,0.050821835478425684,0.09961079753771433,0.336950835519363,0.13772924044393436
355,0.23615106678101552,1,0.1333154747809287,2.6457513110645907,0.050388513169548635,0.09876148581231532,0.33491255259333086,0.1373895809687002
360,0.2357477724745658,1,0.1335076977830731,2.6457513110645907,0.05046116663525439,0.0989038866050986,0.33465165907966443,0.1368438858694672
365,0.23505620686668052,1,0.1332609801341968,2.6457513110645907,0.05036791612911479,0.09872111561306499,0.3337773224797455,0.13633509125361554
370,0.23997972405233847,1,0.1414419588328297,2.449489742783178,0.05774343789336282,0.11317713827099113,0.3531568623233296,0.12680258578134734
375,0.27332328713843473,1,0.12421546950229224,2.23606797749979,0.05555084673283548,0.10887965959635754,0.38220294673479227,0.1644436275420772
380,0.2721496753156388,1,0.12209053820537463,2.23606797749979,0.05460054856735057,0.10701707519200711,0.37916675050764587,0.16513260012363168
385,0.27146467716537553,1,0.12106556548091876,2.23606797749979,0.054142166829957275,0.10611864698671626,0.3775833241520918,0.1653460301786593
390,0.2713046207894323,1,0.1208766810491071,2.23606797749979,0.054057695144072805,0.1059530824823827,0.37725770327181496,0.1653515383070496
395,0.27189030858740554,1,0.12047790380944579,2.23606797749979,0.053879356540920326,0.10560353882020383,0.3774938474076094,0.1662867697672017
400,0.2722457930628182,1,0.12001603554750791,2.23606797749979,0.05367280277485177,0.10519869343870947,0.3774444865015277,0.16704709962410874
405,0.266000565004318,1,0.11995894198576312,2.23606797749979,0.05364726975782399,0.10514864872533501,0.37114921372965304,0.160851916278983
410,0.27134706985855217,1,0.12787581187073635,2,0.06393790593536818,0.1253182956333216,0.3966653654918738,0.14602877422523056
415,0.2714138037460465,1,0.127872192483424,2,0.063936096241712,0.1253147486337555,0.396728552379802,0.14609905511229102
420,0.27029314040005925,1,0.12603889264208737,2,0.06301944632104368,0.12351811478924563,0.3938112551893049,0.14677502561081363
425,0.2655793885330765,1,0.11800981883804189,2,0.059004909419020944,0.11564962246128105,0.3812290109943576,0.14992976607179545
430,0.2633104175193144,1,0.11493723896486122,2,0.05746861948243061,0.11263849418556399,0.3759489117048784,0.1506719233337504
