"user_id","user_role_id","created_at","updated_at"
507,13,"2014-02-24 13:53:56.94982","2014-02-24 13:53:56.94982"
524,13,"2014-02-24 13:54:05.028212","2014-02-24 13:54:05.028212"
567,13,"2014-02-24 13:54:16.237504","2014-02-24 13:54:16.237504"
576,13,"2014-02-24 13:54:30.412929","2014-02-24 13:54:30.412929"
611,13,"2014-02-24 13:54:40.070588","2014-02-24 13:54:40.070588"
656,13,"2014-02-24 13:54:52.019874","2014-02-24 13:54:52.019874"
1068,13,"2014-02-24 13:58:02.419954","2014-02-24 13:58:02.419954"
1071,13,"2014-02-24 13:58:11.675547","2014-02-24 13:58:11.675547"
792,14,"2014-02-24 14:09:54.599222","2014-02-24 14:09:54.599222"
973,14,"2014-02-24 14:10:03.886876","2014-02-24 14:10:03.886876"
1861,131,"2014-06-05 10:12:56.544896","2014-06-05 10:12:56.544896"
1868,131,"2014-06-05 10:20:15.26645","2014-06-05 10:20:15.26645"
1870,131,"2014-06-05 10:20:41.579955","2014-06-05 10:20:41.579955"
1890,131,"2014-06-05 10:22:53.548165","2014-06-05 10:22:53.548165"
1907,131,"2014-06-05 10:26:26.312481","2014-06-05 10:26:26.312481"
1910,131,"2014-06-05 10:28:01.23005","2014-06-05 10:28:01.23005"
1927,131,"2014-06-05 10:29:56.81959","2014-06-05 10:29:56.81959"
1960,131,"2014-06-05 10:31:59.346149","2014-06-05 10:31:59.346149"
1985,131,"2014-06-05 10:33:40.481135","2014-06-05 10:33:40.481135"
2001,131,"2014-06-05 10:35:14.021011","2014-06-05 10:35:14.021011"
2038,131,"2014-06-05 10:38:23.547086","2014-06-05 10:38:23.547086"
2056,131,"2014-06-05 10:43:18.792543","2014-06-05 10:43:18.792543"
2067,131,"2014-06-05 10:49:46.245862","2014-06-05 10:49:46.245862"
2069,131,"2014-06-05 10:50:23.168742","2014-06-05 10:50:23.168742"
2077,131,"2014-06-05 10:52:42.09754","2014-06-05 10:52:42.09754"
2078,131,"2014-06-05 10:53:09.91161","2014-06-05 10:53:09.91161"
2112,131,"2014-06-05 11:01:00.245278","2014-06-05 11:01:00.245278"
3534,131,"2014-06-21 22:14:50.122366","2014-06-21 22:14:50.122366"
2804,131,"2014-06-21 22:15:33.064463","2014-06-21 22:15:33.064463"
2673,131,"2014-06-21 22:39:13.724664","2014-06-21 22:39:13.724664"
675,13,"2014-02-24 13:55:02.191712","2014-02-24 13:55:02.191712"
1879,131,"2014-06-05 10:21:04.784985","2014-06-05 10:21:04.784985"
705,13,"2014-02-24 13:55:21.798539","2014-02-24 13:55:21.798539"
714,13,"2014-02-24 13:55:31.141576","2014-02-24 13:55:31.141576"
777,13,"2014-02-24 13:55:50.887336","2014-02-24 13:55:50.887336"
788,13,"2014-02-24 13:56:01.069739","2014-02-24 13:56:01.069739"
822,13,"2014-02-24 13:56:13.791366","2014-02-24 13:56:13.791366"
862,13,"2014-02-24 13:56:24.584415","2014-02-24 13:56:24.584415"
933,14,"2014-02-24 13:56:53.661382","2014-02-24 13:56:53.661382"
982,13,"2014-02-24 13:57:01.18095","2014-02-24 13:57:01.18095"
1012,13,"2014-02-24 13:57:13.33522","2014-02-24 13:57:13.33522"
