"user_id","user_role_id","updated_at","created_at"
6163,3,"2014-06-22 16:39:30.676567","2014-06-22 16:39:30.676567"
6165,3,"2014-06-22 16:41:38.026926","2014-06-22 16:41:38.026926"
6170,3,"2014-06-22 16:45:19.274029","2014-06-22 16:45:19.274029"
6172,3,"2014-06-22 16:46:25.602522","2014-06-22 16:46:25.602522"
6186,3,"2014-06-22 17:16:14.988517","2014-06-22 17:16:14.988517"
6187,3,"2014-06-22 17:18:41.626322","2014-06-22 17:18:41.626322"
6189,3,"2014-06-22 17:21:38.603251","2014-06-22 17:21:38.603251"
6192,3,"2014-06-22 17:32:19.569886","2014-06-22 17:32:19.569886"
6193,3,"2014-06-22 17:35:43.795447","2014-06-22 17:35:43.795447"
6197,3,"2014-06-22 17:40:49.272412","2014-06-22 17:40:49.272412"
6199,3,"2014-06-22 17:41:25.564378","2014-06-22 17:41:25.564378"
6201,3,"2014-06-22 17:43:26.091569","2014-06-22 17:43:26.091569"
6203,3,"2014-06-22 17:47:00.289122","2014-06-22 17:47:00.289122"
5568,3,"2014-06-22 02:18:31.663271","2014-06-22 02:18:31.663271"
5576,3,"2014-06-22 02:38:35.340025","2014-06-22 02:38:35.340025"
5580,3,"2014-06-22 02:44:21.080261","2014-06-22 02:44:21.080261"
5584,3,"2014-06-22 02:53:27.905222","2014-06-22 02:53:27.905222"
5589,3,"2014-06-22 03:02:11.999168","2014-06-22 03:02:11.999168"
5592,3,"2014-06-22 03:04:36.864707","2014-06-22 03:04:36.864707"
5597,3,"2014-06-22 03:13:01.916449","2014-06-22 03:13:01.916449"
5600,3,"2014-06-22 03:14:05.333456","2014-06-22 03:14:05.333456"
5603,3,"2014-06-22 03:16:08.891704","2014-06-22 03:16:08.891704"
5605,3,"2014-06-22 03:17:44.832606","2014-06-22 03:17:44.832606"
5609,3,"2014-06-22 03:22:52.282555","2014-06-22 03:22:52.282555"
5617,3,"2014-06-22 03:29:24.94354","2014-06-22 03:29:24.94354"
