id,user_id,was_successful
89389,NULL,FALSE
89392,NULL,FALSE
89483,10462,TRUE
41,2,TRUE
42,90,TRUE
90294,NULL,FALSE
90380,2,TRUE
43,2,TRUE
90856,2,TRUE
91654,NULL,FALSE
91700,NULL,FALSE
44,2,TRUE
45,2,TRUE
46,2,TRUE
92829,NULL,FALSE
93699,2,TRUE
93784,NULL,FALSE
47,2,TRUE
95231,2,TRUE
95358,NULL,FALSE
48,2,TRUE
49,2,TRUE
50,2,TRUE
51,2,TRUE
52,296,TRUE
96174,2,TRUE
96493,2,TRUE
53,2,TRUE
96973,2,TRUE
96944,2,TRUE
98166,NULL,FALSE
54,2,TRUE
98413,2,TRUE
98396,2,TRUE
99732,2,TRUE
55,2,TRUE
100310,2,TRUE
56,2,TRUE
100306,10548,TRUE
101545,2,TRUE
57,2,TRUE
102335,2,TRUE
102478,10568,TRUE
102862,10563,FALSE
103368,367,TRUE
103521,2,TRUE
58,2,TRUE
59,296,TRUE
60,2,TRUE
104577,NULL,FALSE
104573,NULL,FALSE
61,2,TRUE
106237,2,TRUE
62,2,TRUE
106399,2,TRUE
106618,276,TRUE
63,2,TRUE
107479,NULL,FALSE
64,2,TRUE
108064,2,TRUE
65,4,TRUE
66,2,TRUE
108992,2,TRUE
67,2,TRUE
109249,6782,TRUE
109320,NULL,FALSE
110271,2,TRUE
68,2,TRUE
69,2075,TRUE
70,2,TRUE
71,2,TRUE
72,2,TRUE
73,2,TRUE
112345,2,TRUE
74,2,TRUE
75,6589,TRUE
76,2,TRUE
77,6589,TRUE
78,2,TRUE
79,7129,TRUE
80,2,TRUE
114538,2,TRUE
114553,NULL,FALSE
81,2,TRUE
82,2,TRUE
83,2,TRUE
115512,2,TRUE
84,2,TRUE
85,2,TRUE
115934,85,TRUE
115935,85,TRUE
86,2,TRUE
88,2,TRUE
89,2,TRUE
119531,2,TRUE
119649,2,TRUE
119792,10755,TRUE
121449,NULL,FALSE
90,2,TRUE
92,2,TRUE
94,2,TRUE
95,2,TRUE
97,2,TRUE
99,2,TRUE
100,2,TRUE
101,2,TRUE
102,821,TRUE
103,7,TRUE
104,2,TRUE
126552,2,TRUE
105,2,TRUE
107,2,TRUE
127354,NULL,FALSE
87,2,TRUE
128171,276,TRUE
91,821,TRUE
93,2,TRUE
96,2,TRUE
98,2,TRUE
129728,2,TRUE
106,2,TRUE
130728,2,TRUE
131142,NULL,FALSE
108,2,TRUE
132652,2,TRUE
109,2,TRUE
110,2315,TRUE
133243,2,TRUE
111,8599,TRUE
134011,2,TRUE
112,2,TRUE
113,2,TRUE
114,2,TRUE
115,2,TRUE
116,2,TRUE
135596,2,TRUE
117,2,TRUE
118,2,TRUE
119,7129,TRUE
120,2,TRUE
121,2,TRUE
136940,10030,TRUE
122,2,TRUE
137256,10854,TRUE
137218,2,TRUE
137407,2,TRUE
123,102,TRUE
138104,NULL,FALSE
138627,10535,TRUE
139073,10895,TRUE
139167,10034,TRUE
124,2,TRUE
141070,NULL,FALSE
125,2,TRUE
