"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
91,8786,"recurring","100",NULL,NULL,False,True,"2014-07-10 04:34:51.000362","2014-07-17 04:34:51.000362","2014-07-10 04:34:50.988099","2014-07-10 04:34:50.988099"
90,8784,"recurring","100",NULL,NULL,False,True,"2014-07-10 04:25:10.125209","2014-07-17 04:25:10.125209","2014-07-10 04:25:10.112811","2014-07-10 04:25:10.112811"
93,8808,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:20:49.636977","2014-07-17 06:20:49.636977","2014-07-10 06:20:49.624922","2014-07-10 06:20:49.624922"
94,8814,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:32:05.367126","2014-07-17 06:32:05.367126","2014-07-10 06:32:05.354916","2014-07-10 06:32:05.354916"
95,8812,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:32:08.754421","2014-07-17 06:32:08.754421","2014-07-10 06:32:08.742253","2014-07-10 06:32:08.742253"
96,8817,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:34:26.854221","2014-07-17 06:34:26.854221","2014-07-10 06:34:26.841438","2014-07-10 06:34:26.841438"
97,8821,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:52:19.726036","2014-07-17 06:52:19.726036","2014-07-10 06:52:19.713408","2014-07-10 06:52:19.713408"
98,8824,"recurring","100",NULL,NULL,False,True,"2014-07-10 06:57:15.184054","2014-07-17 06:57:15.184054","2014-07-10 06:57:15.171704","2014-07-10 06:57:15.171704"
99,8829,"recurring","100",NULL,NULL,False,True,"2014-07-10 07:04:36.052233","2014-07-17 07:04:36.052233","2014-07-10 07:04:36.039457","2014-07-10 07:04:36.039457"
100,8834,"recurring","100",NULL,NULL,False,False,"2014-07-10 07:33:56.504257","2014-07-17 07:33:56.504257","2014-07-10 07:33:56.49132","2014-07-10 07:33:56.49132"
